CODE,Control/Intervention,Grade in Course,Class Year,Gender,Race/Ethnicity,Fall 2017 GPA,Chem 126 Grade,Pell 2017-18,Pell 2018-19,SQA (1-7),SQB,SQC,SQD,First Generation?,1st Sem GPA (excl Chem),ACT Comp,ACT English,ACT Reading,ACT Math,ACT Science,ACT Writing,SAT Com,SAT Math,SAT Verbal,SAT Writing,New SAT Com,New SAT Math,New SAT Verbal,New SAT R/W,New SAT Writing,Chem 123 Interim?,Course
17384,C,4,2020,F,Asian,3.85,B-,YES Pell,YES Pell,NA,NA,NA,NA,N,3.81,27,25,26,33,24,22,,,,,,,,,,Y,121
17387,C,2.7,2021,F,Black or African American,3.17,B-,YES Pell,YES Pell,7,7,7,2,N,3.33,23,24,24,24,23,,,,,,,,,,,Y,121
17388,I,3,2021,F,Multiracial,2.9,C+,NO Pell,NO Pell,5,5,6,2,N,2.86,31,33,32,27,31,,,,,,,,,,,Y,121
17392,I,3.7,2021,F,Asian,3.67,C+,NO Pell,NO Pell,5,6,6,3,Y,3.66,27,27,26,28,25,8,,,,,1300,660,640,,32,Y,121
17393,C,2.7,2021,F,Black or African American,2.85,C,NO Pell,NO Pell,7,7,7,1,N,2.9,27,28,29,28,24,,,,,,,,,,,Y,121
17396,I,1,2021,F,Asian,1.82,None,NO Pell,YES Pell,5,5,5,2,N,2.1,29,25,31,26,32,,,,,,,,,,,N,121
17401,C,3.3,2021,F,White,3.47,B-,YES Pell,YES Pell,5,4,3,3,N,3.53,29,27,33,26,29,,,,,,,,,,,Y,121
17415,C,1.7,2020,F,Hispanic,2.66,None,YES Pell,YES Pell,5,7,7,5,Y,3.15,22,23,22,22,20,10,,,,,,,,,,Y,121
17438,C,2,2021,F,Asian,2.82,None,NO Pell,NO Pell,5,5,6,3,N,3.1,,,,,,,,,,,1290,640,650,,33,N,121
17447,I,3,2021,M,White,3.17,B-,NO Pell,NO Pell,5,7,7,2,N,3.23,26,24,23,30,28,,,,,,,,,,,Y,121
17452,I,4,2021,F,White,3.82,B,NO Pell,NO Pell,2,3,4,6,N,3.76,30,33,32,27,28,,,,,,,,,,,Y,121
17478,C,3,2021,F,Multiracial,2.98,B,YES Pell,NO Pell,NA,NA,NA,NA,N,2.97,,,,,,,,,,,1180,580,600,,35,Y,121
17490,C,2,2021,M,White,2.67,C+,NO Pell,NO Pell,7,7,7,6,N,2.9,29,26,28,33,27,,,,,,,,,,,Y,121
17493,C,0,2021,M,White,0.5,None,NO Pell,NO Pell,5,5,5,2,N,0.5,27,28,30,22,26,,,,,,,,,,,N,121
17496,I,3,2021,M,Asian,3.42,B,NO Pell,NO Pell,6,6,6,1,N,3.56,30,32,30,28,29,,,,,,,,,,,Y,121
